# Wavelength [nm]	Flux [erg s-1 cm-2 nm-1]
5.00000e-01	1.05301e+02
1.50000e+00	5.63483e+03
2.50000e+00	6.99384e+02
3.50000e+00	1.16441e+03
4.50000e+00	1.71402e+03
5.50000e+00	2.13097e+03
6.50000e+00	2.01865e+03
7.50000e+00	1.43991e+03
8.50000e+00	1.30724e+03
9.50000e+00	7.63637e+02
1.05000e+01	3.12989e+02
1.15000e+01	1.55408e+02
1.25000e+01	8.11711e+01
1.35000e+01	9.05085e+01
1.45000e+01	9.89215e+02
1.55000e+01	7.56241e+02
1.65000e+01	1.57073e+03
1.75000e+01	2.31495e+04
1.85000e+01	1.32897e+04
1.95000e+01	9.42066e+03
2.05000e+01	9.05085e+03
2.15000e+01	4.34977e+03
2.25000e+01	4.73806e+03
2.35000e+01	1.05717e+03
2.45000e+01	2.20123e+03
2.55000e+01	5.42219e+03
2.65000e+01	1.86056e+03
2.75000e+01	3.91757e+03
2.85000e+01	3.95501e+03
2.95000e+01	2.02234e+03
3.05000e+01	2.88999e+04
3.15000e+01	5.50077e+03
3.25000e+01	7.36364e+03
3.35000e+01	7.23883e+03
3.45000e+01	3.20663e+03
3.55000e+01	2.74253e+03
3.65000e+01	3.71603e+03
3.75000e+01	6.39292e+02
3.85000e+01	2.74160e+02
3.95000e+01	2.69584e+02
4.05000e+01	4.52127e+02
4.15000e+01	8.36673e+02
4.25000e+01	2.21788e+02
4.35000e+01	5.08937e+02
4.45000e+01	2.02882e+02
4.55000e+01	2.22989e+02
4.65000e+01	8.03390e+02
4.75000e+01	3.20108e+02
4.85000e+01	5.33899e+02
4.95000e+01	1.83282e+03
5.05000e+01	7.76580e+02
5.15000e+01	2.65470e+02
5.25000e+01	4.53375e+02
5.35000e+01	3.44746e+02
5.45000e+01	2.23868e+02
5.55000e+01	1.00077e+03
5.65000e+01	3.04068e+02
5.75000e+01	3.01757e+02
5.85000e+01	1.70524e+03
5.95000e+01	3.59446e+02
6.05000e+01	1.43852e+03
6.15000e+01	4.50093e+02
6.25000e+01	1.94561e+03
6.35000e+01	4.89985e+02
6.45000e+01	1.12881e+02
6.55000e+01	8.85671e+01
6.65000e+01	7.89985e+01
6.75000e+01	8.08937e+01
6.85000e+01	2.78598e+02
6.95000e+01	2.05794e+02
7.05000e+01	5.41757e+02
7.15000e+01	2.36672e+02
7.25000e+01	1.77180e+02
7.35000e+01	2.30894e+02
7.45000e+01	2.84515e+02
7.55000e+01	4.35070e+02
7.65000e+01	1.09969e+03
7.75000e+01	9.96611e+02
7.85000e+01	1.40663e+03
7.95000e+01	6.60555e+02
8.05000e+01	6.78583e+02
8.15000e+01	7.71033e+02
8.25000e+01	1.13945e+03
8.35000e+01	1.94561e+03
8.45000e+01	1.41495e+03
8.55000e+01	1.57581e+03
8.65000e+01	1.67011e+03
8.75000e+01	1.98814e+03
8.85000e+01	2.27196e+03
8.95000e+01	2.76333e+03
9.05000e+01	3.25609e+03
9.15000e+01	2.49107e+03
9.25000e+01	8.88445e+02
9.35000e+01	7.78891e+02
9.45000e+01	5.55162e+02
9.55000e+01	3.21911e+02
9.65000e+01	3.34715e+02
9.75000e+01	5.99076e+03
9.85000e+01	6.81356e+02
9.95000e+01	1.05116e+03
1.00500e+02	4.25963e+02
1.01500e+02	4.92296e+02
1.02500e+02	4.49261e+03
1.03500e+02	4.64099e+03
1.04500e+02	6.79507e+02
1.05500e+02	5.75039e+02
1.06500e+02	5.47304e+02
1.07500e+02	5.81048e+02
1.08500e+02	9.74885e+02
1.09500e+02	6.55933e+02
1.10500e+02	6.99384e+02
1.11500e+02	6.41603e+02
1.12500e+02	6.98922e+02
1.13500e+02	5.45917e+02
1.14500e+02	3.69338e+02
1.15500e+02	6.06934e+02
1.16500e+02	6.85979e+02
1.17500e+02	2.91726e+03
1.18500e+02	7.72420e+02
1.19500e+02	2.56826e+03
1.20500e+02	7.79816e+03
1.21500e+02	3.75301e+05
1.22500e+02	2.75593e+03
1.23500e+02	1.95532e+03
1.24500e+02	1.48706e+03
1.25500e+02	1.40986e+03
1.26500e+02	2.07966e+03
1.27500e+02	1.09137e+03
1.28500e+02	8.93067e+02
1.29500e+02	1.05069e+03
1.30500e+02	8.39908e+03
1.31500e+02	1.37011e+03
1.32500e+02	1.04931e+03
1.33500e+02	9.99847e+03
1.34500e+02	9.35132e+02
1.35500e+02	2.13375e+03
1.36500e+02	1.38536e+03
1.37500e+02	1.47365e+03
1.38500e+02	1.45979e+03
1.39500e+02	4.28367e+03
1.40500e+02	3.55655e+03
1.41500e+02	2.09492e+03
1.42500e+02	2.26364e+03
1.43500e+02	2.63852e+03
1.44500e+02	2.56734e+03
1.45500e+02	2.76056e+03
1.46500e+02	3.43174e+03
1.47500e+02	4.26056e+03
